Compound,RT,Type,Filename,Status,Group,Area,RT Delta,m/z (Delta),Group Average,Batch Order,Peak Label,Sample Type,Level,Sample ID,Sample Name,Comments,Height,Actual RT,Formula,Adduct,Calculated Amt,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),Response Ratio,ISTD Amt,ISTD Response,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Channel,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Modification,Protein Name,Peptide Sequence,Ion Type,S/N,Ion Ratio,Relative RT,Flag Details
dCer (15:0),12.98,Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,N/F,N/F,N/F,294292.33,1,T1,Unknown,,1,,,N/F,N/F,C33H58 D7NO3,N/A,N/F,1,N/F,N/A,531.5477,N/F,N/F,N/A,N/A,Method,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,,Internal Standard Compound has peaks that are not found.
dCholEster (33:1)_19.11,"19.11,19.11,19.11",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,N/F,"N/A,N/A,N/A",N/F,817.55,1,,Unknown,,1,,,N/F,N/F,C36H61D7O5,N/A,N/F,1,N/F,N/A,<multiple>,N/F,N/F,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,,Internal Standard Compound has peaks that are not found.
dCholesterol (33:1)_11.21,"11.21,11.21,11.21",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,N/F,"N/A,N/A,N/A",N/F,1.00,1,,Unknown,,1,,,N/F,N/F,,N/A,N/F,1,N/F,N/A,<multiple>,N/F,N/F,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,,Internal Standard Compound has peaks that are not found.
dDG (33:1),"15.58,15.58",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,218631,"0.14,0.09",N/A,543533.69,1,,Unknown,,1,,,30689,"15.72, 15.67",C26H45D7NO7P,N/A,1,1,1,N/A,<multiple>,<multiple>,N/A,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,"0.016:Peak area 16.910 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000)
0.016:Peak area 201.721 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000). 0.016:Apex Retention Time 0.016 is out of bounds (ISTD Min RT 0.000 and ISTD Max RT 0.000)"
dLPC (18:1)_1,"4.28,4.28,4.28",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,N/F,"N/A,N/A,N/A",N/F,184773.70,1,,Unknown,,1,,,N/F,N/F,C23H39D7NO7P,N/A,N/F,1,N/F,N/A,<multiple>,N/F,N/F,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,,Internal Standard Compound has peaks that are not found.
dLPC (18:1)_2,"4.55,4.55,4.55",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,N/F,"N/A,N/A,N/A",N/F,1098185.15,1,,Unknown,,1,,,N/F,N/F,C41H73D7NO8P,N/A,N/F,1,N/F,N/A,<multiple>,N/F,N/F,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,,Internal Standard Compound has peaks that are not found.
dLPE (18:1)_1,"4.44,4.44,4.44",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,N/F,"N/A,N/A,N/A",N/F,35090.29,1,,Unknown,,1,,,N/F,N/F,C42H72D7O13P,N/A,N/F,1,N/F,N/A,<multiple>,N/F,N/F,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,,Internal Standard Compound has peaks that are not found.
dLPE (18:1)_2,"4.69,4.69,4.69",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,N/F,"N/A,N/A,N/A",N/F,231219.04,1,,Unknown,,1,,,N/F,N/F,,N/A,N/F,1,N/F,N/A,<multiple>,N/F,N/F,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,,Internal Standard Compound has peaks that are not found.
dMG (18:1),"6.98,6.98,6.98",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,N/F,"N/A,N/A,N/A",N/F,229305.14,1,,Unknown,,1,,,N/F,N/F,,N/A,N/F,1,N/F,N/A,<multiple>,N/F,N/F,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,,Internal Standard Compound has peaks that are not found.
dPA (33:1),"14.68,14.68,14.68",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,10130,"0.24,N/A,N/A",N/A,7495986.58,1,,Unknown,,1,,,5407,"14.92, 0.00, 0.00",,N/A,1,1,1,N/A,<multiple>,<multiple>,N/A,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,0.015:Peak area 10.130 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000). 0.015:Apex Retention Time 0.015 is out of bounds (ISTD Min RT 0.000 and ISTD Max RT 0.000)
dPC (33:1),"12.41,12.41,12.41",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,1579874,"N/A,0.14,N/A",N/A,873919.28,1,,Unknown,,1,,,354505,"0.00, 12.55, 0.00",,N/A,1,1,1,N/A,<multiple>,<multiple>,N/A,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,0.013:Peak area 1.579.874 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000). 0.013:Apex Retention Time 0.013 is out of bounds (ISTD Min RT 0.000 and ISTD Max RT 0.000)
dPE (33:1),"12.71,12.71,12.71",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,N/F,"N/A,N/A,N/A",N/F,82400.24,1,,Unknown,,1,,,N/F,N/F,,N/A,N/F,1,N/F,N/A,<multiple>,N/F,N/F,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,,Internal Standard Compound has peaks that are not found.
dPG (33:1),"11.74,11.74,11.74",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,68609248,"0.20,N/A,-0.16",N/A,4704790.97,1,,Unknown,,1,,,19525598,"11.94, 0.00, 11.58",,N/A,1,1,1,N/A,<multiple>,<multiple>,N/A,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,"0.012:Peak area 68.571.499 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000)
0.012:Peak area 37.749 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000). 0.012:Apex Retention Time 0.012 is out of bounds (ISTD Min RT 0.000 and ISTD Max RT 0.000)"
dPI (33:1),"11.43,11.43,11.43",Internal Standard,190729_fleisch_fisch_probe2_3_pos,Processed,,486043,"-0.03,-0.04,N/A",N/A,30949928.36,1,,Unknown,,1,,,142123,"11.40, 11.39, 0.00",,N/A,1,1,1,N/A,<multiple>,<multiple>,N/A,N/A,N/A,<multiple>,True,False,N/A,N/A,N/A,,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,"0.011:Peak area 426.376 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000)
0.011:Peak area 59.666 is out of bounds (ISTD Minimum Recovery 0.000 and ISTD Max Recovery 0.000). 0.011:Apex Retention Time 0.011 is out of bounds (ISTD Min RT 0.000 and ISTD Max RT 0.000)"
