"","Compound","RT","Type","Filename","Status","Area"
"1","dCer (15:0)","12.98","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"2","dCholEster (33:1)_19.11","19.11,19.11,19.11","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"3","dCholesterol (33:1)_11.21","11.21,11.21,11.21","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"4","dDG (33:1)","15.58,15.58","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",218631
"5","dLPC (18:1)_1","4.28,4.28,4.28","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"6","dLPC (18:1)_2","4.55,4.55,4.55","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"7","dLPE (18:1)_1","4.44,4.44,4.44","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"8","dLPE (18:1)_2","4.69,4.69,4.69","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"9","dMG (18:1)","6.98,6.98,6.98","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"10","dPA (33:1)","14.68,14.68,14.68","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",10130
"11","dPC (33:1)","12.41,12.41,12.41","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",1579874
"12","dPE (33:1)","12.71,12.71,12.71","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"13","dPG (33:1)","11.74,11.74,11.74","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",68609248
"14","dPI (33:1)","11.43,11.43,11.43","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",486043
"15","dPS (33:1)","11.52,11.52,11.52","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",2907236
"16","dPS (33:1)-h2o","11.52,11.52,11.52","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",536228
"17","dSM (18:1)","11.93","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"18","dTG (48:1)","19.07,19.07,19.07","Internal Standard","190729_fleisch_fisch_probe2_3_pos","Processed",122335180
"19","LPC (16:0)_1","4.21","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",67317530
"20","LPC (16:0)_2","3.93","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",441575
"21","LPC (16:1)_1","2.99","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",1385023
"22","LPC (16:1)_2","3.24","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"23","LPC (18:0)","5.67","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",8782830
"24","LPC (18:1)_1","4.33","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",18723454
"25","LPC (18:1)_2","4.59","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",2941054
"26","LPC (18:2)_1","3.39","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",19689856
"27","LPC (18:2)_2","3.64","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",1865358
"28","LPC (18:3)_1","2.68","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",6211613
"29","LPC (18:3)_2","2.89","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",900212
"30","LPC (18:4)","2.22","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",67075
"31","LPC (20:1)_1","5.7","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",21759
"32","LPC (20:1)_2","6","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",21618
"33","LPC (20:2)_1","4.67","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",96283
"34","LPC (20:2)_2","4.95","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"35","LPC (20:3)_1","3.87","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",1501735
"36","LPC (20:3)_2","4.11","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",87711
"37","LPC (20:4)_1","3.12","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",636903
"38","LPC (20:4)_2","3.39","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",3208625
"39","LPC (20:4)_3","3.6","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",248482
"40","LPC (20:5)_1","2.68","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",1439081
"41","LPC (20:5)_2","2.89","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",129603
"42","LPC (20:5)_3","3.39","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",2496075
"43","LPC (21:5)_1","3.12","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"44","LPC (22:4)_1","4.45","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",184924
"45","LPC (22:4)_4.35","4.35","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",53031
"46","LPC (22:5)_1","3.64","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",1685722
"47","LPC (22:5)_2","3.85","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",182739
"48","LPC (22:5)_3","4.04","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",27984
"49","LPC (22:6)_1","3.27","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",77293
"50","LPC (22:6)_2","3.47","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",23624
"51","LPE (20:4)_3.44","3.44","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"52","LPE (20:4)_3.51","3.51","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",661395
"53","LPE (20:4)_3.71","3.71","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",49752
"54","LPE (20:5)_2.79","2.79","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"55","LPE (20:5)_2.97","2.97","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"56","LPE (20:6)_3.39","3.39","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"57","LPE (20:6)_3.60","3.6","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",661395
"58","LPS (18:0)","4.76","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",743240
"59","LPS (22:6)","2.64","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"60","PC (32:0)","12.72,12.72","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",57334601
"61","PC (32:1-16:1_16:0ev18:4_14:0)","11.98","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",98448553
"62","PC (34:1-18:1_16:0)","12.95","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"63","PC (34:2-18:2_16:0)","12.15","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",1536862788
"64","PC (34:3-18:2_16:1ev18:3_16:0)","11.49","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",658504407
"65","PC (36:0)_nurExactMass","15.07","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",1412124
"66","PC (36:1-18:1_18:0)","14.1","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",260750858
"67","PC (36:2-18:2_18:0ev18:1_18:1)","13.16","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",409260935
"68","PC (36:3-18:2_18:1)","12.33,12.33","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",397294427
"69","PC (36:3-20:3_16:0ev18:2_18:1)","12.47","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",244114116
"70","PC (36:4-18:2_18:2)","11.72","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",9151484
"71","PC (36:4-20:4_16:0)","12.07","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"72","PC (36:5-20:5_16:0)","11.46","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",NA
"73","PC (36:6-22:6_14:0)","10.95,10.95","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",119745
"74","PC (38:4-18:0_20:4)","13.19","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",222027
"75","PC (38:5-20:4_18:1)","12.38","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",1150253
"76","PC (38:5-22:5_16:0)_12.07","12.07","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",17273918
"77","PC (38:5-22:5_16:0)_12.45","12.45","Target Compound","190729_fleisch_fisch_probe2_3_pos","Processed",158307
