"","lipidID","lipidClass","totalChainLength","unsaturation","lipidSpecies","fattyAcyls","PUFA","ether"
"1","LPC (16:0)_1","LPC",16,0,"LPC 16:0","LPC 16:0",FALSE,FALSE
"2","LPC (16:0)_2","LPC",16,0,"LPC 16:0","LPC 16:0",FALSE,FALSE
"3","LPC (16:1)_1","LPC",16,1,"LPC 16:1","LPC 16:1",FALSE,FALSE
"4","LPC (18:0)","LPC",18,0,"LPC 18:0","LPC 18:0",FALSE,FALSE
"5","LPC (18:1)_1","LPC",18,1,"LPC 18:1","LPC 18:1",FALSE,FALSE
"6","LPC (18:1)_2","LPC",18,1,"LPC 18:1","LPC 18:1",FALSE,FALSE
"7","LPC (18:2)_1","LPC",18,2,"LPC 18:2","LPC 18:2",TRUE,FALSE
"8","LPC (18:2)_2","LPC",18,2,"LPC 18:2","LPC 18:2",TRUE,FALSE
"9","LPC (18:3)_1","LPC",18,3,"LPC 18:3","LPC 18:3",TRUE,FALSE
"10","LPC (18:3)_2","LPC",18,3,"LPC 18:3","LPC 18:3",TRUE,FALSE
"11","LPC (20:2)_1","LPC",20,2,"LPC 20:2","LPC 20:2",TRUE,FALSE
"12","LPC (20:3)_1","LPC",20,3,"LPC 20:3","LPC 20:3",TRUE,FALSE
"13","LPC (20:3)_2","LPC",20,3,"LPC 20:3","LPC 20:3",TRUE,FALSE
"14","LPC (20:4)_1","LPC",20,4,"LPC 20:4","LPC 20:4",TRUE,FALSE
"15","LPC (20:4)_2","LPC",20,4,"LPC 20:4","LPC 20:4",TRUE,FALSE
"16","LPC (20:4)_3","LPC",20,4,"LPC 20:4","LPC 20:4",TRUE,FALSE
"17","LPC (20:5)_1","LPC",20,5,"LPC 20:5","LPC 20:5",TRUE,FALSE
"18","LPC (20:5)_3","LPC",20,5,"LPC 20:5","LPC 20:5",TRUE,FALSE
"19","LPC (22:4)_1","LPC",22,4,"LPC 22:4","LPC 22:4",TRUE,FALSE
"20","LPC (22:5)_1","LPC",22,5,"LPC 22:5","LPC 22:5",TRUE,FALSE
"21","LPC (22:5)_2","LPC",22,5,"LPC 22:5","LPC 22:5",TRUE,FALSE
"22","LPC (22:6)_1","LPC",22,6,"LPC 22:6","LPC 22:6",TRUE,FALSE
"23","LPE (20:4)_3.51","LPE",20,4,"LPE 20:4","LPE 20:4",TRUE,FALSE
"24","LPE (20:4)_3.71","LPE",20,4,"LPE 20:4","LPE 20:4",TRUE,FALSE
"25","LPE (20:6)_3.60","LPE",20,6,"LPE 20:6","LPE 20:6",TRUE,FALSE
"26","LPS (18:0)","LPS",18,0,"LPS 18:0","LPS 18:0",FALSE,FALSE
"27","PC (32:0)","PC",32,0,"PC 32:0","PC 32:0",FALSE,FALSE
"28","PC (32:1-16:1_16:0ev18:4_14:0)","PC",32,1,"PC 32:1","PC 32:1",FALSE,FALSE
"29","PC (34:1-18:1_16:0)","PC",34,1,"PC 34:1","PC 18:1_16:0",FALSE,FALSE
"30","PC (34:2-18:2_16:0)","PC",34,2,"PC 34:2","PC 18:2_16:0",TRUE,FALSE
"31","PC (34:3-18:2_16:1ev18:3_16:0)","PC",34,3,"PC 34:3","PC 34:3",TRUE,FALSE
"32","PC (36:0)_nurExactMass","PC",36,0,"PC 36:0","PC 36:0",FALSE,FALSE
"33","PC (36:1-18:1_18:0)","PC",36,1,"PC 36:1","PC 18:1_18:0",FALSE,FALSE
"34","PC (36:2-18:2_18:0ev18:1_18:1)","PC",36,2,"PC 36:2","PC 36:2",TRUE,FALSE
"35","PC (36:3-18:2_18:1)","PC",36,3,"PC 36:3","PC 18:2_18:1",TRUE,FALSE
"36","PC (36:4-20:4_16:0)","PC",36,4,"PC 36:4","PC 20:4_16:0",TRUE,FALSE
"37","PC (36:5-20:5_16:0)","PC",36,5,"PC 36:5","PC 20:5_16:0",TRUE,FALSE
"38","PC (36:6-22:6_14:0)","PC",36,6,"PC 36:6","PC 22:6_14:0",TRUE,FALSE
"39","PC (38:5-20:4_18:1)","PC",38,5,"PC 38:5","PC 20:4_18:1",TRUE,FALSE
"40","PC (38:5-22:5_16:0)_12.07","PC",38,5,"PC 38:5","PC 22:5_16:0",TRUE,FALSE
"41","PC (38:6-22:6_16:0)","PC",38,6,"PC 38:6","PC 22:6_16:0",TRUE,FALSE
"42","PC (38:7-22:6_16:1)","PC",38,7,"PC 38:7","PC 22:6_16:1",TRUE,FALSE
"43","PC (40:6-22:6_18:0)","PC",40,6,"PC 40:6","PC 22:6_18:0",TRUE,FALSE
"44","PC (40:7-22:6_18:1)","PC",40,7,"PC 40:7","PC 22:6_18:1",TRUE,FALSE
"45","PC (40:8-22:6_18:2)","PC",40,8,"PC 40:8","PC 22:6_18:2",TRUE,FALSE
"46","PC (40:9-22:6_18:3)","PC",40,9,"PC 40:9","PC 22:6_18:3",TRUE,FALSE
"47","PE (34:1-18:1_16:0)","PE",34,1,"PE 34:1","PE 18:1_16:0",FALSE,FALSE
"48","PE (34:2-18:2_16:0)","PE",34,2,"PE 34:2","PE 18:2_16:0",TRUE,FALSE
