"","LPC (16:0)_1","LPC (16:0)_2","LPC (16:1)_1","LPC (18:0)","LPC (18:1)_1","LPC (18:1)_2","LPC (18:2)_1","LPC (18:2)_2","LPC (18:3)_1","LPC (18:3)_2","LPC (20:2)_1","LPC (20:3)_1","LPC (20:3)_2","LPC (20:4)_1","LPC (20:4)_2","LPC (20:4)_3","LPC (20:5)_1","LPC (20:5)_3","LPC (22:4)_1","LPC (22:5)_1","LPC (22:5)_2","LPC (22:6)_1","LPE (20:4)_3.51","LPE (20:4)_3.71","LPE (20:6)_3.60","LPS (18:0)","PC (32:0)","PC (32:1-16:1_16:0ev18:4_14:0)","PC (34:1-18:1_16:0)","PC (34:2-18:2_16:0)","PC (34:3-18:2_16:1ev18:3_16:0)","PC (36:0)_nurExactMass","PC (36:1-18:1_18:0)","PC (36:2-18:2_18:0ev18:1_18:1)","PC (36:3-18:2_18:1)","PC (36:4-20:4_16:0)","PC (36:5-20:5_16:0)","PC (36:6-22:6_14:0)","PC (38:5-20:4_18:1)","PC (38:5-22:5_16:0)_12.07","PC (38:6-22:6_16:0)","PC (38:7-22:6_16:1)","PC (40:6-22:6_18:0)","PC (40:7-22:6_18:1)","PC (40:8-22:6_18:2)","PC (40:9-22:6_18:3)","PE (34:1-18:1_16:0)","PE (34:2-18:2_16:0)","PE (36:1-18:1_18:0)","PE (36:2-18:1_18:1)","PE (36:2-18:2_18:0)","PE (36:3-18:2_18:1)","PE (36:4-20:4_16:0)","PE (38:4-20:4_18:0)","PE (38:5-20:4_18:1ev20:5_18:0)","PE (38:5-22:5_16:0)","PE (38:6-20:5_18:1ev20:4_18:2)","PE (40:5-22:5_18:0)","PE (40:6-22:5_18:1)","PI (36:2-18:2_18:0)","PI (38:4-18:0_20:4)","PI (38:5-18:0_20:5)","P-PC (34:0)","P-PE (34:1-P16:0_18:1)","P-PE (34:2-P16:0_18:2)","P-PE (34:3-P16:0_18:3)","P-PE (36:0)_nurExactmass","P-PE (36:1-P18:0_18:1)","P-PE (36:2-P18:0_18:2)","P-PE (36:2-P18:1_18:1)","P-PE (36:3-18:2_P18:1ev18:3_18:0)","P-PE (36:4-P16:0_20:4)_12.94","P-PE (36:4-P16:0_20:4ev18:3_P18:1ev18:2_P18:2)_12.52","P-PE (36:4-P18:1_18:3)_12.41","P-PE (36:5-P16:0_20:5)","P-PE (38:4-P18:0_20:4)","P-PE (38:4-P18:0_20:4evP18:1_20:3)","P-PE (38:5-P16:0_22:5)","P-PE (38:5-P18:0_20:5)","P-PE (38:6-P18:0_20:6)","P-PE (38:6-P18:1_20:5)","P-PE (40:5-P18:0_22:5)","P-PE (40:6-P18:0_22:6)","P-PE (40:6-P18:1_22:5)"
"LPC (16:0)_1",1,0.408929436278651,0.828449515116942,0.622864985417739,0.426461502319845,0.900019831432821,0.725555555555556,0.485872198059552,1.41989831834181,0.526834506275847,0.678568358097374,0.896242902986917,0.473021952967233,0.906423667457246,2.05820861678005,1.22928051464364,0.808164718976071,0.523945450609712,0.552656975416698,0.62907043229663,0.507503494548504,0.666607913338842,0.645626389259358,1.22824086603518,0.644137319258405,0.573204925797284,2.21315452605913,0.419489312536106,1.51943084327265,0.821606698348043,1.16704596592735,0.720802064721064,0.669249769585254,1.10590313737435,1.82400401909068,0.426036141750763,1.05394735314267,1.41685073170732,0.701648468451058,0.637912676798735,0.822537381060263,1.19705901747445,0.403588261449533,0.446029484029484,1.21907716689835,0.629288499870006,0.800414462081129,0.895579674395659,0.46318555846144,0.58235303552811,0.584744725398615,0.579009648353401,0.613394154417976,0.889109832251745,0.576481422673865,1.08039875018598,0.65077612475354,1.19214578886882,0.517522628465541,0.67048568790397,0.595596690874313,0.901136758500869,0.6381543042301,0.422811226272272,0.608765928906774,0.500265931794695,1.0285562115426,0.41676863915514,0.453042176191665,0.45324012233943,0.73295245785808,1.01443978765018,0.643908841003813,1.10422141119221,0.61174052232519,0.819472250372982,0.490433607996758,1.10573473427745,0.479804413902471,0.685486642122156,0.547531292414417,1.03202956225128,0.83762371669166,1.46398387096774
"LPC (16:0)_2",2.44540967532253,1,2.02589845978323,1.52316006176016,1.04287308392553,2.20091720376797,1.77428057553957,1.18815657410505,3.47223308564724,1.28832619894072,1.65937762825904,2.19168106640336,1.15673246042603,2.21657720634128,5.03316326530612,3.00609446419502,1.9762938230384,1.28126127426221,1.35147271481848,1.53833492159751,1.24105395582891,1.63012944092536,1.57882101893838,3.00355209742896,1.57517963275082,1.40172087148721,5.41206949100884,1.02582322357019,3.71563088512241,2.0091649694501,2.85390549662488,1.76265634306135,1.63658986175115,2.70438623210478,4.46043707611153,1.0418329030744,2.57733305465566,3.46478048780488,1.71581795342545,1.55995783185452,2.01144086995922,2.9272997032641,0.986938639395287,1.09072481572482,2.981143098898,1.53886818615131,1.95734126984127,2.19005920078934,1.13267844613128,1.42409174753388,1.42994040908359,1.4159157961885,1.5,2.17423778621281,1.40973324865037,2.64201755691117,1.59141423194121,2.91528484649483,1.26555484284798,1.63961218836565,1.45647791045413,2.20364854802681,1.560548709913,1.0339466635612,1.48868209255533,1.22335514984499,2.51524131131937,1.01917006256098,1.10787372098827,1.10835778041321,1.79236903199758,2.48072087175189,1.57462090981644,2.70027372262774,1.49595619208088,2.00394536972042,1.19931109009861,2.70397441754226,1.17331835601956,1.67629566694987,1.33893832001206,2.52373507674815,2.0483331410774,3.58004032258065
"LPC (16:1)_1",1.20707415690725,0.493608154530608,1,0.751844227140161,0.514770658366124,1.08639067922657,0.875799360511591,0.586483773837404,1.71392256550645,0.635928317492563,0.819082328754322,1.08183164650704,0.570972575076542,1.09412058419673,2.484410430839,1.48383274081598,0.975514746800223,0.632441013060105,0.66709795266002,0.759334661699731,0.612594352809617,0.804645184981181,0.779318929492309,1.48257780784844,0.777521511576333,0.691900852541838,2.67144163364828,0.506354708261121,1.8340657041222,0.991740212717809,1.40871102539376,0.870061544570181,0.807834101382488,1.33490709716723,2.20170811353931,0.514257216615818,1.27219261271931,1.71024390243902,0.846941733500821,0.770007906527277,0.992863615768011,1.44493900428619,0.487160960426856,0.538390663390663,1.4715165434387,0.759597885432013,0.966159611992945,1.08103108041441,0.559099317471455,0.702943299382469,0.705830246416492,0.698907583127342,0.740412231795911,1.07322150116322,0.695855827246745,1.30412141050439,0.785535042122244,1.43900837300936,0.624688190435464,0.80932594644506,0.718929373493857,1.08773889302556,0.770299568755278,0.510364504483522,0.734825620389001,0.603858077850499,1.2415436218795,0.503070653733571,0.546855502869978,0.547094438549404,0.884727970122136,1.22450405141101,0.7772457213798,1.33287712895377,0.738416175231676,0.989163775727851,0.591989733891666,1.33470382214101,0.579159508391701,0.827433210610781,0.660910873171467,1.24573621375782,1.0110739416311,1.76713709677419
"LPC (18:0)",1.60548437207355,0.656529819226221,1.33006274957216,1,0.684677277265519,1.44496777392167,1.16486810551559,0.780060220809635,2.27962456003129,0.845824566494958,1.08943089430894,1.43890397432733,0.759429353136603,1.4552490325802,3.30442176870748,1.9735906551549,1.2974958263773,0.841186232772927,0.887282137148946,1.00996274798579,0.814788929270338,1.07022858716607,1.03654307815417,1.97192151556157,1.03415239953872,0.92027155036312,3.55318500457178,0.673483535528596,2.43942247332078,1.31907671418873,1.87367405978785,1.15723645026802,1.07447004608295,1.77551020408163,2.92840994724943,0.683994367519362,1.69209600445884,2.27473170731707,1.12648565078752,1.02415883334797,1.32057091073856,1.92185954500495,0.64795464650956,0.716093366093366,1.957209339807,1.0103128520669,1.28505291005291,1.43783917118895,0.743637175480003,0.934958697569974,0.938798518279916,0.929590941711187,0.984794728839331,1.42745194073711,0.925531914893617,1.73456330903139,1.0448108980104,1.91397143326219,0.830874492195852,1.07645429362881,0.956221179257432,1.44676098287416,1.0245467624129,0.678816816117387,0.977364185110664,0.803169135377196,1.65133092343083,0.669115536933938,0.72735213376591,0.727669933212658,1.17674371656405,1.62866722548198,1.03378558127161,1.7728102189781,0.982139848357203,1.31564989132177,0.787383493178441,1.77523983554134,0.770318488172327,1.1005380911923,0.87905293319258,1.65690733371234,1.34479178682662,2.35040322580645
"LPC (18:1)_1",2.34487754360065,0.95888945204708,1.94261266400456,1.4605421170012,1,2.11043629152206,1.70133892885691,1.13931080628973,3.32948768087603,1.23536240296017,1.5911597047005,2.10157985682548,1.10917855514299,2.12545250280864,4.82624716553288,2.88251227357373,1.89504730105732,1.22858792120644,1.29591293096887,1.47509313003552,1.19003354766564,1.56311392637474,1.51391482173024,2.88007442489851,1.51042313492416,1.34409535838333,5.18957634867418,0.983651068746389,3.56287926344424,1.9265670966282,2.73657987785278,1.6901925749454,1.56930875576037,2.59320743222662,4.27706606380306,0.999002581553626,2.47137748052159,3.32234146341463,1.64527973717267,1.49582711060353,1.9287494336203,2.80695680844049,0.946365051133837,1.04588452088452,2.85858667257624,1.47560447179132,1.87687389770723,2.10002466699556,1.08611341455636,1.36554655545753,1.37115477532614,1.357706721952,1.43833417807062,2.08485367944166,1.3517783423309,2.53340276744532,1.52599032084603,2.79543588901658,1.21352718979403,1.57220683287165,1.39660130547403,2.11305534872177,1.49639369734126,0.991440549668103,1.42748155600268,1.17306234929383,2.41183836277721,0.977271422831889,1.0623284252558,1.06279258473254,1.71868375895831,2.37873707739592,1.50988738139576,2.58926399026764,1.43445661331087,1.92156207750349,1.15000675401864,2.59281254758642,1.12508259548038,1.60738223355046,1.28389383200121,2.41998294485503,1.96412504325758,3.43286290322581
"LPC (18:1)_2",1.11108662840019,0.454356028608436,0.920479178551055,0.692056956596329,0.473835672755036,1,0.806155075939249,0.539846102375376,1.5776300351975,0.585358775302909,0.753948229137464,0.995803505307332,0.525568366881636,1.00711521657721,2.28684807256236,1.36583714237346,0.89794101279911,0.582148784183563,0.614049775477586,0.698951745646712,0.563880346659212,0.740659138896539,0.717346848048368,1.36468200270636,0.715692362281558,0.636880328386486,2.45900640048766,0.466088965915656,1.68821929273907,0.912876216338538,1.29668916747027,0.800873535834822,0.743594470046083,1.22875418824246,2.02662647575986,0.47336306031448,1.17102681111459,1.57424390243902,0.779592231133443,0.708776245278046,0.913910285455369,1.33003626772173,0.448421520675856,0.495577395577396,1.35450033912874,0.699194037611578,0.889329805996473,0.995066600888012,0.514639280474581,0.647044670783543,0.649702045417942,0.64332987800016,0.681534042912654,0.987878045794049,0.640520800254049,1.20041660467192,0.723068650295752,1.32457724511574,0.575012472382581,0.744967682363804,0.661759519149851,1.00124100273021,0.709044714286091,0.469779899848608,0.676391683433937,0.555838787461247,1.14281505320294,0.463066062101819,0.503369104067881,0.503589039385806,0.814373675179166,1.12713048337524,0.715438503148,1.22688564476886,0.679696714406066,0.910504659734433,0.544914223963258,1.22856707781331,0.533104268534426,0.761635042008874,0.608354697632333,1.1466742467311,0.930672511246972,1.62661290322581
"LPC (18:2)_1",1.37825421133231,0.563608717688799,1.14181403308614,0.858466289243438,0.587772361543431,1.24045612295488,1,0.669655403144864,1.95698083691826,0.726111876949866,0.935239697224558,1.23525055541842,0.651944498729724,1.24928223692423,2.83673469387755,1.69426104621635,1.11385642737896,0.722130023811242,0.761701803790243,0.867018972537469,0.699468828627341,0.918755163866703,0.889837289943985,1.69282814614344,0.887784972944203,0.790022102936533,3.05028954587016,0.578162911611785,2.09416195856874,1.13238289205703,1.60848601735776,0.993448481238833,0.922396313364055,1.52421565641182,2.51394122079879,0.587186106547759,1.45260737799143,1.95278048780488,0.967049956517538,0.879205833260125,1.13366560942456,1.64985163204748,0.556247220987105,0.614742014742015,1.68019823921671,0.867319525088829,1.1031746031746,1.23433645781944,0.638387446577789,0.802630523698773,0.805926880334998,0.798022486245116,0.845413076533198,1.22541937063793,0.794537948555097,1.489064127362,0.896934934576089,1.64307995403054,0.713277742142399,0.92409972299169,0.820883647453112,1.24199553239017,0.879538857284977,0.582741353208338,0.839034205231388,0.689493627282122,1.4176119301506,0.574413132066808,0.624407287247317,0.624680107359091,1.01019481174927,1.39815590947192,0.887470071827614,1.52189781021898,0.843133951137321,1.12944108014653,0.675942185600432,1.52398355413431,0.661292454076913,0.944774851316907,0.754637309606394,1.42239909039227,1.1544584150421,2.01774193548387
"LPC (18:2)_2",2.05815439531988,0.841639916652588,1.70507701083856,1.28195230742838,0.87772361543431,1.85237977193852,1.49330535571543,1,2.9223699648025,1.08430675469782,1.39659844874311,1.84460627005678,0.973552211582307,1.8655598551991,4.23611111111111,2.5300490942949,1.66332776850306,1.07836063208024,1.13745338305807,1.29472407519709,1.04452054794521,1.37198200679335,1.32879879078865,2.52790933694181,1.32573405482125,1.17974423744869,4.55501371533069,0.863373772385904,3.12722326846621,1.69099343742928,2.40196078431373,1.48352193766131,1.37741935483871,2.27611940298508,3.75408188897262,0.876848157709458,2.16918637730635,2.91609756097561,1.44410087931201,1.31292277958359,1.69290892614409,2.46373227827234,0.830646954201868,0.917997542997543,2.50904902928595,1.29517289193171,1.64737654320988,1.84324124321658,0.953307392996109,1.19857245970006,1.20349492671928,1.19169125269117,1.26245987497888,1.82992530917105,1.18648777389647,2.22362743639339,1.33939774153074,2.45362009522246,1.06514147245385,1.37996306555863,1.22582994716095,1.85467858029288,1.31342008614348,0.870210783742867,1.25293427230047,1.02962452635205,2.11692748761998,0.857774206508638,0.93243074619416,0.932838149928219,1.50852932270112,2.08787370773959,1.32526381129733,2.27265815085158,1.25905644481887,1.68660041394783,1.00938808591112,2.27577280341099,0.987511563367253,1.41083734541678,1.12690393605791,2.12407617964753,1.72395893413312,3.01310483870968
"LPC (18:3)_1",0.704275783048905,0.287999098946894,0.583456930975471,0.438668725338823,0.300346508486521,0.633862171541894,0.510991207034373,0.342188022750084,1,0.371036784444606,0.477899261751238,0.631202172303135,0.333137906325321,0.638372238172513,1.44954648526077,0.865752497037413,0.569170840289371,0.369002092503067,0.389222924119035,0.443039071298623,0.357422421023204,0.469475810153309,0.454699030852672,0.865020297699594,0.453650314911736,0.403694347963372,1.55867113684852,0.295436164067013,1.07009834693451,0.578637700837293,0.821922211507554,0.507643438554695,0.471336405529954,0.778860798050564,1.28460185882944,0.300046937338653,0.742269597426876,0.997853658536585,0.494154024543434,0.449266449969252,0.579293158133213,0.84305967688757,0.284237438861716,0.314127764127764,0.858566526314376,0.44319265100962,0.563712522045855,0.630735076467686,0.326210371882375,0.410137140107467,0.411821549363827,0.407782473486963,0.431998648420341,0.626178523325579,0.406001905366783,0.760898675792293,0.458325864850332,0.839599408964045,0.364478654408096,0.472206832871653,0.419464325846844,0.634648796227352,0.449436622317683,0.297775707464772,0.428739101274313,0.352325180847399,0.724387231293982,0.293520059691213,0.319066633391565,0.319206042069783,0.516200666195619,0.714445375803297,0.453489403210074,0.777676399026764,0.430834035383319,0.577134460818281,0.345400513305417,0.778742195827623,0.337914629311484,0.482771641650146,0.385613029708943,0.726833428084139,0.589918098973353,1.03104838709677
"LPC (18:3)_2",1.89812927605848,0.776200934842597,1.57250427837992,1.18227826385315,0.809479062665179,1.70835399107585,1.37719824140687,0.922248243559719,2.69515056707079,1,1.28801046631156,1.70118489261911,0.897856817145463,1.72050929971289,3.90674603174603,2.33333333333333,1.53400111296605,0.994516198859946,1.04901438465637,1.194057004245,0.963307240704501,1.26530799596071,1.22548235084912,2.3313599458728,1.22265590348621,1.08801705083675,4.20085339835416,0.796244945118429,2.88407616656204,1.55951572754017,2.21520411443266,1.36817550129045,1.27032258064516,2.09914712153518,3.46219542828435,0.808671673316123,2.00052832642445,2.68936585365854,1.33181949946855,1.21084072740051,1.56128228364295,2.27217276623805,0.766062694530903,0.846621621621621,2.31396606026418,1.19447092469018,1.51929012345679,1.69992599901332,0.879186068763156,1.10538134573743,1.10992108229989,1.09903516465992,1.1643014022639,1.68764540222848,1.0942362654811,2.05073649754501,1.23525721455458,2.26284682318174,0.982324852113178,1.27266851338873,1.13051951567209,1.71047406304294,1.21129936750188,0.802550366833586,1.15551643192488,0.949569410954185,1.95233265720081,0.791080755323423,0.859932617918642,0.860308345296798,1.39123851821944,1.92553785973736,1.22222222222222,2.09595498783455,1.16116259477675,1.55546426935048,0.930906389301634,2.09882747068677,0.910730804810361,1.30114226375909,1.03928517568994,1.95892552586697,1.58991809897335,2.77883064516129
